parking_id,airport_id,type,pushback,name,number,suffix,airline_codes,radius,heading,has_jetway,lonx,laty
12262,12688,,,3,-1,,,,,0,78.43202778,17.23572778
12263,12688,,,204,-1,,,,,0,78.41940556,17.23421389
12264,12688,,,203,-1,,,,,0,78.41985833,17.23421944
12265,12685,,,1-320,-1,,,,,0,73.83866667,15.38897222
12266,12688,,,202,-1,,,,,0,78.42026944,17.23426944
12267,12688,,,200,-1,,,,,0,78.42071111,17.23423056
12268,12688,,,2,-1,,,,,0,78.43161944,17.23572222
12269,12688,,,12,-1,,,,,0,78.43570833,17.23578056
12270,12688,,,11,-1,,,,,0,78.4353,17.23577222
12271,12688,,,10,-1,,,,,0,78.43489167,17.23576667
12272,12688,,,1,-1,,,,,0,78.43121111,17.23571667
12273,12685,,,6,-1,,,,,0,73.83755556,15.38338889
12274,12685,,,5,-1,,,,,0,73.83730556,15.38391667
12275,12685,,,4,-1,,,,,0,73.83852778,15.38311111
12276,12685,,,3,-1,,,,,0,73.83888889,15.38361111
12277,12685,,,2,-1,,,,,0,73.83788889,15.38402778
12278,12688,,,201,-1,,,,,0,78.42053056,17.23432778
12279,12675,,,32,-1,,,,,0,77.70465556,13.20167222
12280,12675,,,9,-1,,,,,0,77.71137778,13.20161389
12281,12675,,,85,-1,,,,,0,77.710625,13.203625
12282,12675,,,59,-1,,,,,0,77.70189167,13.20367222
12283,12675,,,58,-1,,,,,0,77.701075,13.203725
12284,12675,,,57,-1,,,,,0,77.70070278,13.20372778
12285,12675,,,56,-1,,,,,0,77.70026111,13.20373333
12286,12675,,,55,-1,,,,,0,77.69988611,13.20373611
12287,12675,,,54,-1,,,,,0,77.69944167,13.20373889
12288,12675,,,53,-1,,,,,0,77.69830833,13.20375
12289,12675,,,52,-1,,,,,0,77.69749167,13.20375556
12290,12675,,,51,-1,,,,,0,77.696675,13.20376389
12291,12675,,,5,-1,,,,,0,77.71242778,13.20151667
12292,12675,,,49,-1,,,,,0,77.69671111,13.20166667
12293,12675,,,6,-1,,,,,0,77.71216667,13.20160833
12294,12675,,,47,-1,,,,,0,77.69746944,13.20165833
12295,12675,,,43,-1,,,,,0,77.69963611,13.20164167
12296,12675,,,42,-1,,,,,0,77.70001111,13.20163611
12297,12675,,,41,-1,,,,,0,77.70038333,13.20163333
12298,12675,,,40,-1,,,,,0,77.70075833,13.20163056
12299,12675,,,4,-1,,,,,0,77.71256944,13.20160556
12300,12675,,,39,-1,,,,,0,77.70113056,13.20162778
12301,12675,,,38,-1,,,,,0,77.701925,13.20169722
12302,12675,,,37,-1,,,,,0,77.70219167,13.20160556
12303,12675,,,36,-1,,,,,0,77.70232778,13.20174444
12304,12675,,,35,-1,,,,,0,77.70272778,13.20168889
12305,12675,,,34,-1,,,,,0,77.70286111,13.20159722
12306,12675,,,45,-1,,,,,0,77.698225,13.20165278
12307,12675,,,86,-1,,,,,0,77.71081111,13.20353333
12308,12675,,,60,-1,,,,,0,77.70195278,13.20367222
12309,12675,,,62,-1,,,,,0,77.7025,13.20366944
12310,12675,,,84,-1,,,,,0,77.71043889,13.20353611
12311,12675,,,83,-1,,,,,0,77.70988611,13.20354167
12312,12675,,,82,-1,,,,,0,77.7097,13.20363333
12313,12675,,,81,-1,,,,,0,77.70951111,13.20357778
12314,12675,,,80,-1,,,,,0,77.70895833,13.20355
12315,12675,,,8,-1,,,,,0,77.71153889,13.201525
12316,12675,,,79,-1,,,,,0,77.70877222,13.20364167
12317,12675,,,78,-1,,,,,0,77.70858333,13.20358333
12318,12675,,,77,-1,,,,,0,77.70803056,13.20355833
12319,12675,,,76,-1,,,,,0,77.70784444,13.20365
12320,12675,,,75,-1,,,,,0,77.70765833,13.20356111
12321,12675,,,61,-1,,,,,0,77.70226667,13.20366944
12322,12675,,,74,-1,,,,,0,77.70710278,13.20356667
12323,12675,,,72,-1,,,,,0,77.70673056,13.20356944
12324,12675,,,71,-1,,,,,0,77.70617778,13.20357222
12325,12675,,,70,-1,,,,,0,77.70599167,13.20366667
12326,12675,,,7,-1,,,,,0,77.71176667,13.20161111
12327,12675,,,69,-1,,,,,0,77.70580278,13.20357778
12328,12675,,,68,-1,,,,,0,77.70525,13.20358056
12329,12675,,,67,-1,,,,,0,77.70506389,13.20364722
12330,12675,,,66,-1,,,,,0,77.70487778,13.20358333
12331,12675,,,65,-1,,,,,0,77.70310556,13.20366389
12332,12675,,,64,-1,,,,,0,77.70305,13.20366389
12333,12675,,,63,-1,,,,,0,77.70273333,13.20366667
12334,12675,,,73,-1,,,,,0,77.70691667,13.20365833
12335,12613,,,C34L,-1,,,,,0,77.08099722,28.55178889
12336,12613,,,C34,-1,,,,,0,77.08091944,28.55150833
12337,12613,,,C33,-1,,,,,0,77.08210556,28.55124444
12338,12613,,,168,-1,,,,,0,77.10828056,28.56393611
12339,12613,,,167,-1,,,,,0,77.10853333,28.56387222
12340,12613,,,166,-1,,,,,0,77.10882778,28.56381111
12341,12613,,,165,-1,,,,,0,77.10910278,28.56373889
12342,12613,,,164,-1,,,,,0,77.10934722,28.56367778
12343,12613,,,163,-1,,,,,0,77.10961667,28.56365
12344,12613,,,162,-1,,,,,0,77.10986944,28.56356389
12345,12613,,,161A,-1,,,,,0,77.10831389,28.5638
12346,12613,,,161,-1,,,,,0,77.11018056,28.56351389
12347,12613,,,160A,-1,,,,,0,77.10875,28.56370278
12348,12613,,,160,-1,,,,,0,77.10933889,28.56340278
12349,12613,,,169,-1,,,,,0,77.10801667,28.56401667
12350,12613,,,16,-1,,,,,0,77.11785278,28.56636944
12351,12613,,,159,-1,,,,,0,77.10958333,28.56335278
12352,12613,,,158A,-1,,,,,0,77.10960278,28.56351111
12353,12613,,,158,-1,,,,,0,77.10982778,28.56329444
12354,12613,,,157A,-1,,,,,0,77.11003611,28.56341111
12355,12613,,,157,-1,,,,,0,77.11006944,28.56324444
12356,12613,,,15,-1,,,,,0,77.11783889,28.56699722
12357,12613,,,142,-1,,,,,0,77.1115,28.56383333
12358,12613,,,141,-1,,,,,0,77.11133333,28.56416667
12359,12613,,,140,-1,,,,,0,77.11116667,28.56466667
12360,12613,,,139,-1,,,,,0,77.11116667,28.565
12361,12613,,,138,-1,,,,,0,77.11041667,28.56516667
12362,12613,,,159A,-1,,,,,0,77.10918333,28.5636
12363,12613,,,137,-1,,,,,0,77.11022222,28.56555556
12364,12613,,,17,-1,,,,,0,77.11786389,28.56575833
12365,12613,,,171,-1,,,,,0,77.10747778,28.56411389
12366,12613,,,24,-1,,,,,0,77.11644167,28.56513333
12367,12613,,,23,-1,,,,,0,77.11650556,28.56471389
12368,12613,,,22,-1,,,,,0,77.11658889,28.56421944
12369,12613,,,21,-1,,,,,0,77.11658889,28.56421944
12370,12613,,,20,-1,,,,,0,77.11665278,28.56369722
12371,12613,,,2,-1,,,,,0,77.12057778,28.56722778
12372,12613,,,19,-1,,,,,0,77.11674722,28.56318333
12373,12613,,,188,-1,,,,,0,77.10689444,28.56461667
12374,12613,,,187,-1,,,,,0,77.10709444,28.56458611
12375,12613,,,186,-1,,,,,0,77.10728333,28.56455278
12376,12613,,,185,-1,,,,,0,77.10751111,28.56449444
12377,12613,,,170,-1,,,,,0,77.10775278,28.56407222
12378,12613,,,184,-1,,,,,0,77.10776111,28.56443611
12379,12613,,,182,-1,,,,,0,77.10824167,28.56432222
12380,12613,,,181,-1,,,,,0,77.10845,28.56428611
12381,12613,,,180,-1,,,,,0,77.10866111,28.56421389
12382,12613,,,179,-1,,,,,0,77.10898056,28.56415
12383,12613,,,178,-1,,,,,0,77.10920833,28.5641
12384,12613,,,177,-1,,,,,0,77.10936667,28.56403056
12385,12613,,,176,-1,,,,,0,77.109725,28.56395833
12386,12613,,,175,-1,,,,,0,77.10673333,28.56431111
12387,12613,,,174,-1,,,,,0,77.10690556,28.56425278
12388,12613,,,173,-1,,,,,0,77.10708889,28.56421389
12389,12613,,,172,-1,,,,,0,77.10726667,28.56417222
12390,12613,,,183,-1,,,,,0,77.10793611,28.56439722
12391,12613,,,25,-1,,,,,0,77.11638333,28.56550833
12392,12613,,,136,-1,,,,,0,77.10997222,28.566
12393,12613,,,134,-1,,,,,0,77.10947222,28.58325
12394,12590,,,7,-1,,,,,0,90.40161667,23.84805833
12395,12590,,,6,-1,,,,,0,90.40314167,23.84906111
12396,12590,,,5,-1,,,,,0,90.40356389,23.84853056
12397,12590,,,4,-1,,,,,0,90.40398611,23.84799722
12398,12590,,,3,-1,,,,,0,90.40441111,23.84746389
12399,12590,,,2,-1,,,,,0,90.40483333,23.84693056
12400,12590,,,16A,-1,,,,,0,90.40380278,23.84586389
12401,12590,,,16,-1,,,,,0,90.40345278,23.84630556
12402,12590,,,15A,-1,,,,,0,90.40593611,23.84404722
12403,12590,,,14,-1,,,,,0,90.40716111,23.84395556
12404,12590,,,13,-1,,,,,0,90.40673889,23.84448611
12405,12590,,,8,-1,,,,,0,90.40196944,23.84761389
12406,12590,,,12,-1,,,,,0,90.40631944,23.84501667
12407,12590,,,10,-1,,,,,0,90.40228056,23.85068611
12408,12590,,,1,-1,,,,,0,90.405,23.84666667
12409,12582,,,4,-1,,,,,0,85.32469444,23.31611111
12410,12582,,,3,-1,,,,,0,85.32436111,23.31638889
12411,12582,,,2,-1,,,,,0,85.32408333,23.31661111
12412,12582,,,1,-1,,,,,0,85.32375,23.31688889
12413,12567,,,9,-1,,,,,0,91.58822222,26.10750556
12414,12567,,,8,-1,,,,,0,91.58806667,26.10716667
12415,12567,,,7,-1,,,,,0,91.587825,26.10666667
12416,12567,,,6,-1,,,,,0,91.58766667,26.106325
12417,12567,,,5,-1,,,,,0,91.58751944,26.10599722
12418,12590,,,11,-1,,,,,0,90.40171667,23.85117778
12419,12613,,,135,-1,,,,,0,77.10969444,28.56625
12420,12590,,,9,-1,,,,,0,90.40232222,23.84716944
12421,12613,,,1,-1,,,,,0,77.12084167,28.56779167
12422,12613,,,133,-1,,,,,0,77.10925,28.56688889
12423,12613,,,132,-1,,,,,0,77.11069444,28.57838889
12424,12613,,,131,-1,,,,,0,77.11091667,28.56947222
12425,12613,,,130,-1,,,,,0,77.11111111,28.56663889
12426,12613,,,13,-1,,,,,0,77.11805556,28.563
12427,12613,,,129,-1,,,,,0,77.11138889,28.56625
12428,12613,,,128,-1,,,,,0,77.11163889,28.56594444
12429,12613,,,127,-1,,,,,0,77.11191667,28.56555556
12430,12613,,,126,-1,,,,,0,77.11211111,28.56525
12431,12613,,,125,-1,,,,,0,77.11238889,28.56486111
12432,12613,,,124,-1,,,,,0,77.11261111,28.56458333
12433,12597,,,TEJ,-1,,,,,0,90.38888889,23.76944444
12434,12613,,,123,-1,,,,,0,77.11286111,28.56416667
12435,12613,,,121,-1,,,,,0,77.11333333,28.56344444
12436,12613,,,12,-1,,,,,0,77.11844444,28.56316667
12437,12613,,,11,-1,,,,,0,77.11862778,28.56352778
12438,12613,,,106,-1,,,,,0,77.10036944,28.560125
12439,12613,,,105,-1,,,,,0,77.10136944,28.55989444
12440,12613,,,104,-1,,,,,0,77.10255556,28.55962222
12441,12613,,,103,-1,,,,,0,77.09763611,28.55849444
12442,12613,,,102,-1,,,,,0,77.09901667,28.55816111
